74DA38C7D318	桃園市外社國小(2017)	33841桃園市蘆竹區外社里山林路二段525號 
74DA38C7D33E	桃園市頂社國小(2017)	33841桃園市蘆竹區山林路三段232號
74DA38C7D330	桃園市海湖國小(2017)	33842桃園市蘆竹區海湖東路191巷15號
74DA38C7D322	桃園市錦興國小(2017)	33848桃園市蘆竹區南竹路一段100號
74DA38C7D320	桃園市山腳國小(2017)	33851桃園市蘆竹區南山路3段440號
74DA38C7D31E	桃園市大華國小(2017)	33853桃園市蘆竹區大華街98號
74DA38C7CF72	桃園市新莊國小(2017)	33864桃園市蘆竹區大新路380巷121號
74DA38C7CF92	桃園市光明國小(2017)	33845桃園市蘆竹區南昌路255號
74DA38C7CF90	桃園市龍安國小(2017)	33844桃園市蘆竹區文中路一段35號
74DA38C7CF8C	桃園市大園國小(2017)	33756桃園市大園區中正東路160號
74DA38C7CF98	桃園市圳頭國小(2017)	33749桃園市大園區中華路261號
74DA38C7CF8A	桃園市內海國小(2017)	33749桃園市大園區內海里2鄰學府路76巷32號
74DA38C7CF86	桃園市溪海國小(2017)	33751桃園市大園區和平西路一段420號
74DA38C7CF58	桃園市潮音國小(2017)	33742桃園市大園區潮音路一段188號
74DA38C7D412	桃園市竹圍國小(2017)	33747桃園市大園區竹圍里2鄰竹圍街3號
74DA38C7CF5A	桃園市菓林國小(2017)	33752桃園市大園區菓林里12鄰41號
74DA38C7D05A	桃園市后厝國小(2017)	33748桃園市大園區國際路二段147號
74DA38C7D05C	桃園市沙崙國小(2017)	33748桃園市大園區沙崙里9鄰75-2號
74DA38C7D054	桃園市埔心國小(2017)	33745桃園市大園區中正東路1段189巷35號
74DA38C7D056	桃園市五權國小(2017)	33744桃園市大園區中正東路2段539號
74DA38C7D052	桃園市陳康國小(2017)	33752桃園市大園區建國八村151號
74DA38C7D050	桃園市觀音國小(2017)	32843桃園市觀音區觀音里文化路2號
74DA38C7D04E	桃園市大潭國小(2017)	32841桃園市觀音區濱海路大潭段687號
74DA38C7D04C	桃園市保生國小(2017)	32841桃園市觀音區保生里14鄰5號
74DA38C7D1E0	桃園市新坡國小(2017)	32850桃園市觀音區中山路二段717號
74DA38C7D1D8	桃園市崙坪國小(2017)	32846桃園市觀音區崙坪里297-1號
