74DA38F7C332	樹林幼兒園 
74DA38F7C640	鶯歌幼兒園 
74DA38F7C63E	三峽幼兒園 
74DA38F7C398	樹林國小	
74DA38F7C63C	文林國小	
74DA38F7C63A	大同國小	
74DA38F7C39A	武林國小	
74DA38F7C638	山佳國小	
74DA38F7C64C	育德國小	
74DA38F7C64A	柑園國小	
74DA38F7C2FE	三多國小	
74DA38F7C430	彭福國小	
74DA38F7C31A	育林國小	
74DA38F7C302	鶯歌國小	
74DA38F7C636	鳳鳴國小	
74DA38F7C634	二橋國小	
74DA38F7C632	中湖國小	
74DA38F7C630	建國國小	
74DA38F7C382	永吉國小	
74DA38F7C334	昌福國小	
74DA38F7C44A	三峽國小	
74DA38F7C452	民義國小	
74DA38F7C30A	大埔國小	
74DA38F7C458	成福國小	
74DA38F7C472	大成國小	
74DA38F7C45E	有木國小	
74DA38F7C450	五寮國小	
74DA38F7C316	建安國小	
74DA38F7C31C	安溪國小	
74DA38F7C314	插角國小	
74DA38F7C3B2	介壽國小	
74DA38F7C454	中園國小	
74DA38F7C328	龍埔國小	
74DA38F7C3B4	北大國小	
74DA38F7C30E	桃子腳國中 
74DA38F7C464	三多國中	
74DA38F7C462	柑園國中	
74DA38F7C470	育林國中	
74DA38F7C46E	樹林高中	
74DA38F7C326	尖山國中	
74DA38F20A2E	鳳鳴國中	
74DA38F20A1E	鶯歌國中	
74DA38F20A1C	鶯歌高職	
74DA38F20A16	三峽國中	
74DA38F20A1A	安溪國中	
74DA38F20A30	北大高中	
74DA38F20A32	明德高中
