74DA3895DF5C	高雄市前峰國小	高雄市岡山區育英路35號
74DA3895DE7A	高雄市岡山國小	高雄市岡山區柳橋東路36號
74DA3895DE7C	高雄市仕隆國小	高雄市橋頭區仕隆路進校巷16號
74DA3895DE7E	高雄市五林國小	高雄市橋頭區東林里五林路160號
74DA3895DE02	高雄市陽明國小	高雄市三民區義德路52號
74DA3895DE04	高雄市河濱國小	高雄市三民區市中一路339號
74DA3895DE06	高雄市河堤國小	高雄市三民區裕誠路3號
74DA3895DE08	高雄市東光國小	高雄市三民區黃興路206號
74DA3895DE0E	高雄市光武國小	高雄市三民區光武路35號
74DA3895DE10	高雄市大寮國小	高雄市大寮區大寮路740號
74DA3895DE12	高雄市大樹國小	高雄市大樹區中正一路249號
74DA3895DDF4	高雄市小林國小	高雄市甲仙區小林里五里路24之2號
74DA3895E0C8	高雄市中庄國小	高雄市大寮區中庄里中庄路59號
74DA3895DDF6	高雄市寶隆國小	高雄市甲仙區寶隆里光華路20號
74DA3895DDF8	高雄市溪寮國小	高雄市大寮區溪寮里溪寮路69號
74DA3895DDFA	高雄市昭明國小	高雄市大寮區鳳林一路300巷80號
74DA3895DDFC	高雄市潮寮國小	高雄市大寮區潮寮里潮寮路61號
74DA3895DDFE	高雄市忠義國小	高雄市大寮區忠義路1號
74DA3895DE00	高雄市溝坪國小	高雄市內門區溝坪里廣福47號
74DA3895DDF2	高雄市金竹國小	高雄市內門區金竹里吉民28號
74DA3895DDF0	高雄市景義國小	高雄市內門區永富里萊坑8號
74DA3895E11C	高雄市姑山國小	高雄市大樹區姑山里1號
74DA3895E11A	高雄市新光國小	高雄市左營區華夏路800號
74DA3895E11E	高雄市甲仙國小	高雄市甲仙區西安里文化路45號
74DA3895E120	高雄市木柵國小	高雄市內門區木柵里木柵3號
74DA3895E108	高雄市九曲國小	高雄市大樹區九曲里九曲路四九八號
74DA3895E10A	高雄市福山國小	高雄市左營區重愛路99號
