74DA38F210B6	高雄市市立金竹國小	高雄市金竹國小 高雄市內門區金竹里吉民28號
74DA38F210B8	高雄市市立景義國小	高雄市景義國小 高雄市內門區永富里萊坑8號
74DA38F20FC2	高雄市市立姑山國小	高雄市姑山國小 高雄市大樹區姑山里1號
74DA38F20F86	高雄市市立新光國小	高雄市新光國小 高雄市左營區華夏路800號
74DA38F20F6E	高雄市市立甲仙國小	高雄市甲仙國小 高雄市甲仙區西安里文化路45號
74DA38F20F78	高雄市市立木柵國小	高雄市木柵國小 高雄市內門區木柵里木柵3號
74DA38F20F82	高雄市市立九曲國小	高雄市九曲國小 高雄市大樹區九曲里九曲路四九八號
74DA38F20F8C	高雄市市立福山國小	高雄市福山國小 高雄市左營區重愛路99號
74DA38F20F7C	高雄市市立民族國小	高雄市民族國小 高雄市三民區平等路197號
74DA38F20F58	高雄市市立溪埔國小	高雄市溪埔國小 高雄市大樹區溪埔里43號
74DA38F20FDA	高雄市市立文府國小	高雄市文府國小 高雄市左營區文府路399號
74DA38F20F80	高雄市市立莊敬國小	高雄市莊敬國小 高雄市三民區大昌一路200號
74DA38F20FBE	高雄市市立西門國小	高雄市西門國小 高雄市內門區內東里柿子園24號
74DA38F20FB4	高雄市市立獅湖國小	高雄市獅湖國小 高雄市三民區鼎金後路495號
74DA38F20FB6	高雄市市立博愛國小	高雄市博愛國小 高雄市三民區十全一路202號
74DA38F20FB8	高雄市市立正興國小	高雄市正興國小 高雄市三民區大豐二路20號
74DA38F20FCE	高雄市市立十全國小	高雄市十全國小 高雄市三民區十全二路162號
74DA38F20FD6	高雄市市立愛國國小	高雄市愛國國小 高雄市三民區十全一路1號
74DA38F20FC8	高雄市市立鼎金國小	高雄市鼎金國小 高雄市三民區鼎山街375號
74DA38F20FCA	高雄市市立三民國小	高雄市三民國小 高雄市三民區建國三路216號
74DA38F20FC4	高雄市市立集來國小	高雄市集來國小 高雄市杉林區集來里通仙巷333號
74DA38F20FC6	高雄市市立忠孝國小	高雄市忠孝國小 高雄市鳳山區新富路630號
74DA38F21062	高雄市市立杉林國小	高雄市杉林國小 高雄市杉林區杉林里合森巷41號
74DA38F21070	高雄市市立林園國小	高雄市林園國小 高雄市林園區忠孝西路20號
74DA38F2106E	高雄市市立中芸國小	高雄市中芸國小 高雄市林園區中芸里中芸路1號
74DA38F21072	高雄市市立內門國小	高雄市內門國小 高雄市內門區內豐里內埔24號
74DA38F21076	高雄市市立港埔國小	高雄市港埔國小 高雄市林園區頂厝里校前路1號
74DA38F21074	高雄市市立觀亭國小	高雄市觀亭國小 高雄市內門區觀亭里中正路203號
74DA38F21060	高雄市市立屏山國小	高雄市屏山國小 高雄市左營區海功東路2號
74DA38F21066	高雄市市立永清國小	高雄市永清國小 高雄市左營區左營大路2之2號
74DA38F209C6	高雄市市立中山國小	高雄市中山國小 高雄市鳳山區光復路一段120巷8號
74DA38F209CA	高雄市市立新上國小	高雄市新上國小 高雄市左營區大順一路100號
74DA38F210FE	高雄市市立新甲國小	高雄市新甲國小 高雄市鳳山區新富路255號
74DA38F210FA	高雄市市立新莊國小	高雄市新莊國小 高雄市左營區自由三路1號
74DA38F21058	高雄市市立新民國小	高雄市新民國小 高雄市左營區自由三路478號
74DA38F2105E	高雄市市立明德國小	高雄市明德國小 高雄市左營區海富路2號
74DA38F21054	高雄市市立新威國小	高雄市新威國小 高雄市六龜區新興里新威212號
74DA38F21052	高雄市市立勝利國小	高雄市勝利國小 高雄市左營區南屏路1號
74DA38F2104E	高雄市市立寶來國小	高雄市寶來國小 高雄市六龜區寶來里中正路89號
74DA38F21068	高雄市市立金潭國小	高雄市金潭國小 高雄市林園區中厝里金潭路40號
74DA38F21050	高雄市市立月美國小	高雄市月美國小 高雄市杉林區月眉里清水路象寮巷39號
74DA38F21064	高雄市市立汕尾國小	高雄市汕尾國小 高雄市林園區中汕里北汕路58巷2號
74DA38F20810	高雄市市立上平國小	高雄市上平國小 高雄市杉林區上平里山仙路212號
74DA38F2080E	高雄市市立永芳國小	高雄市永芳國小 高雄市大寮區鳳林三路499號
74DA38F2080A	高雄市市立左營國小	高雄市左營國小 高雄市左營區實踐路42號
74DA38F2080C	高雄市市立新庄國小	高雄市新庄國小 高雄市杉林區司馬路45巷5號
