08BEAC245FA0	屏東縣縣立泰武國中(2020)	[921]屏東縣泰武鄉佳平村120號
08BEAC245F9E	屏東縣縣立琉球國小(2020)	[929]屏東縣琉球鄉大福村中正路293號
08BEAC245FA2	屏東縣縣立天南國小(2020)	[929]屏東縣琉球鄉南福村忠孝路27號
08BEAC252A6E	屏東縣縣立全德國小(2020)	[929]屏東縣琉球鄉杉福村復興路97號
08BEAC2529E8	屏東縣縣立白沙國小(2020)	[929]屏東縣琉球鄉漁福村三民路124號
08BEAC2529FA	屏東縣縣立琉球國中(2020)	[929]屏東縣琉球鄉中正路158號
08BEAC2529F2	屏東縣縣立高樹國小(2020)	[906]屏東縣高樹鄉高樹村華光路32號
08BEAC2529EE	屏東縣縣立舊寮國小(2020)	[906]屏東縣高樹鄉舊寮村長美路42號
08BEAC2529BA	屏東縣縣立新豐國小(2020)	[906]屏東縣高樹鄉新豐村泰和路26號
08BEAC2529F8	屏東縣縣立田子國小(2020)	[906]屏東縣高樹鄉鹽樹村公平路19號
08BEAC2529D2	屏東縣縣立新南國小(2020)	[906]屏東縣高樹鄉新南村興店路5號
08BEAC2529C0	屏東縣縣立泰山國小(2020)	[906]屏東縣高樹鄉泰山村產業路84號
08BEAC2529FE	屏東縣縣立大路關國(中)小(2020)	[906]屏東縣高樹鄉廣興村中正路176號
08BEAC2529DC	屏東縣縣立大路關國(中)小-關福分校(2020)	[906]屏東縣高樹鄉廣福村中央路60號
08BEAC245F7E	屏東縣縣立高樹國中(2020)	[906]屏東縣高樹鄉高樹村南興路4號
08BEAC2529D0	屏東縣縣立高泰國中(2020)	[906]屏東縣高樹鄉泰山村產業路225號
08BEAC2529B2	屏東縣縣立新埤國小(2020)	[925]屏東縣新埤鄉新埤村新華路165號
08BEAC2529E6	屏東縣縣立大成國小(2020)	[925]屏東縣新埤鄉打鐵村東興路33號
08BEAC2529DA	屏東縣縣立萬隆國小(2020)	[925]屏東縣新埤鄉萬隆村中山路126號
