08BEAC0A0480	臺南市市立佳興國小	[722]臺南市佳里區佳化里214號
08BEAC0A0638	臺南市市立仁愛國小	[722]臺南市佳里區仁愛路307號
08BEAC0A046E	臺南市市立子龍國小	[722]臺南市佳里區三協里潭墘5號
08BEAC0A0574	臺南市市立通興國小	[722]臺南市佳里區通興里埔頂5之1號
08BEAC0A0460	臺南市市立塭內國小	[722]臺南市佳里區塭內里塭子內40號
08BEAC0A0640	臺南市市立信義國小	[722]臺南市佳里區忠仁里信義一街336號
08BEAC0A0676	臺南市市立港東國小	[723]臺南市西港區港東里雙張廍1之1號
08BEAC0A0578	臺南市市立西港國小	[723]臺南市西港區進學街60號
08BEAC0A0670	臺南市市立松林國小	[723]臺南市西港區檨林里39之1號
08BEAC0A07BE	臺南市市立後營國小	[723]臺南市西港區營西里3號
08BEAC0A054E	臺南市市立西港區成功國小	[723]臺南市西港區竹林里11號
08BEAC0A0678	臺南市市立七股國小	[724]臺南市七股區大埕里395號
08BEAC0A047C	臺南市市立大文國小	[724]臺南市七股區大埕里大寮36之2號
08BEAC0A0800	臺南市市立後港國小	[724]臺南市七股區大潭里台潭1號
08BEAC0A0592	臺南市市立篤加國小	[724]臺南市七股區篤加里120號
08BEAC0A07A8	臺南市市立龍山國小	[724]臺南市七股區龍山里12號
08BEAC0A080A	臺南市市立三股國小	[724]臺南市七股區三股里100號
08BEAC0A02C2	臺南市市立建功國小	[724]臺南市七股區十份里74之1號
08BEAC0A05BE	臺南市市立樹林國小	[724]臺南市七股區樹林里65之11號
08BEAC0A0828	臺南市市立光復生態實驗小學	[724]臺南市七股區塩埕里塩埕1號
08BEAC0A071E	臺南市市立竹橋國小	[724]臺南市七股區竹橋里130號
08BEAC0A03BA	臺南市市立將軍國小	[725]臺南市將軍區將貴里58號
08BEAC0A0870	臺南市市立鯤鯓國小	[725]臺南市將軍區鯤溟里6號
08BEAC0A0604	臺南市市立苓和國小	[725]臺南市將軍區苓和里132號
08BEAC0A05F6	臺南市市立漚汪國小	[725]臺南市將軍區長榮里4號
08BEAC0A0416	臺南市市立長平國小	[725]臺南市將軍區長沙里132之2號
08BEAC0A00EA	臺南市市立中洲國小	[726]臺南市學甲區光華里645號
08BEAC0A0206	臺南市市立東陽國小	[726]臺南市學甲區華宗路260號
08BEAC0A06A8	臺南市市立頂洲國小	[726]臺南市學甲區三慶里頂洲108號
08BEAC0A05B8	臺南市市立學甲國小	[726]臺南市學甲區秀昌里3鄰一秀30號
08BEAC0A0598	臺南市市立宅港國小	[726]臺南市學甲區宅港里13號
08BEAC0A05B6	臺南市市立北門國小	[727]臺南市北門區北門里舊埕3號
08BEAC0A00DE	臺南市市立三慈國小	[727]臺南市北門區慈安里381號
08BEAC0A039A	臺南市市立錦湖國小	[727]臺南市北門區錦湖里75號
08BEAC0A0378	臺南市市立蚵寮國小	[727]臺南市北門區鯤江里791號
08BEAC0A040E	臺南市市立雙春國小	[727]臺南市北門區雙春里35之2號
08BEAC0A0872	臺南市市立文山國小	[727]臺南市北門區文山里4鄰溪底寮50號
08BEAC0A086E	臺南市市立新泰國小	[730]臺南市新營區東學路77號
