74DA38F20F56	屏東縣縣立烏龍國小(2018)	[932]屏東縣新園鄉南龍村南興路217號
74DA38F20F50	屏東縣縣立港西國小(2018)	[932]屏東縣新園鄉港西村中和路101號
74DA38F20FDC	屏東縣縣立鹽洲國小(2018)	[932]屏東縣新園鄉鹽埔村鹽洲路379號
74DA38F20CFC	屏東縣縣立琉球國小(2018)	[929]屏東縣琉球鄉大福村中正路293號
74DA38F20CFA	屏東縣縣立天南國小(2018)	[929]屏東縣琉球鄉南福村忠孝路27號
74DA38F20CF6	屏東縣縣立全德國小(2018)	[929]屏東縣琉球鄉杉福村復興路97號
74DA38F20CF2	屏東縣縣立白沙國小(2018)	[929]屏東縣琉球鄉漁福村三民路124號
74DA38F20CF4	屏東縣縣立崁頂國小(2018)	[924]屏東縣崁頂鄉崁頂村中正路119號
74DA38F20CF0	屏東縣縣立港東國小(2018)	[924]屏東縣崁頂鄉越溪村復興路96號
74DA38F20CEC	屏東縣縣立力社國小(2018)	[924]屏東縣崁頂鄉力社村力社路36號
74DA38F20CE2	屏東縣縣立林邊國小(2018)	[927]屏東縣林邊鄉林邊村中山路68號
74DA38F20CEA	屏東縣縣立仁和國小(2018)	[927]屏東縣林邊鄉仁和村中山路417號
74DA38F20CE8	屏東縣縣立竹林國小(2018)	[927]屏東縣林邊鄉竹林村中興路122號
74DA38F20D02	屏東縣縣立崎峰國小(2018)	[927]屏東縣林邊鄉崎峰村裕後路2號
74DA38F20D10	屏東縣縣立水利國小(2018)	[927]屏東縣林邊鄉水利村豐漁路117號
74DA38F20CFE	屏東縣縣立南州國小(2018)	[926]屏東縣南州鄉溪南村人和路191號
74DA38F209E4	屏東縣縣立同安國小(2018)	[926]屏東縣南州鄉同安村同安路79號
74DA38F20B46	屏東縣縣立溪北國小(2018)	[926]屏東縣南州鄉溪北村仁里路102號
74DA38F20D08	屏東縣縣立佳冬國小(2018)	[931]屏東縣佳冬鄉進學街150號
74DA38F20DA8	屏東縣縣立塭子國小(2018)	[931]屏東縣佳冬鄉塭豐村中興路1號
74DA38F20D00	屏東縣縣立羌園國小(2018)	[931]屏東縣佳冬鄉羌園村羌光路669號
74DA38F20CF8	屏東縣縣立昌隆國小(2018)	[931]屏東縣佳冬鄉昌隆村中正路44號
74DA38F20DA2	屏東縣縣立大新國小(2018)	[931]屏東縣佳冬鄉大同村武丁路33號
74DA38F2088E	屏東縣縣立玉光國小(2018)	[931]屏東縣佳冬鄉玉光村民學路81號
74DA38F21002	屏東縣縣立恆春國小(2018)	[946]屏東縣恆春鎮城北里北門路39巷26號
74DA38F20F88	屏東縣縣立恆春國小-南灣分校(2018)	[946]屏東縣恆春鎮南灣里南灣路仁愛巷87號
74DA38F2107C	屏東縣縣立僑勇國小(2018)	[946]屏東縣恆春鎮城北里西門路146號
74DA38F20E38	屏東縣縣立山海國小(2018)	[946]屏東縣恆春鎮山海里山海路86號
74DA38F211A0	屏東縣縣立大光國小(2018)	[946]屏東縣恆春鎮大光里大光路8之6號
74DA38F20A96	屏東縣縣立水泉國小(2018)	[946]屏東縣恆春鎮水泉里頂泉路1號
74DA38F210BE	屏東縣縣立水泉國小-龍泉分校(2018)	[946]屏東縣恆春鎮龍水里草潭路171號
74DA38F20EFE	屏東縣縣立大平國小(2018)	[946]屏東縣恆春鎮頭溝里頭溝路161號
74DA38F210E2	屏東縣縣立墾丁國小(2018)	[946]屏東縣恆春鎮墾丁里墾丁路65號
74DA38F20A76	屏東縣縣立墾丁國小-鵝鑾分校(2018)	[946]屏東縣恆春鎮砂島路216號
74DA38F20C02	屏東縣縣立車城國小(2018)	[944]屏東縣車城鄉福興村中山路66號
74DA38F20E20	屏東縣縣立車城國小-溫泉分校(2018)	[944]屏東縣車城鄉文化路23號
74DA38F211AE	屏東縣縣立車城國小-保力分校(2018)	[944]屏東縣車城鄉保力路30號
74DA38F210D4	屏東縣縣立車城國小-射寮分校(2018)	[944]屏東縣車城鄉埔墘路38號
74DA38F211B4	屏東縣縣立滿州國小(2018)	[947]屏東縣滿州鄉滿州村中山路39號
74DA38F211C8	屏東縣縣立長樂國小(2018)	[947]屏東縣滿州鄉長樂村大公路35號
74DA38F20E1E	屏東縣縣立永港國小(2018)	[947]屏東縣滿州鄉永靖村新庄路25號
74DA38F20D54	屏東縣縣立楓港國小(2018)	[941]屏東縣枋山鄉善餘村光復路24號
74DA38F20E36	屏東縣縣立加祿國小(2018)	[941]屏東縣枋山鄉加祿村會社路28號
74DA38F211F2	屏東縣縣立加祿國小-枋山分校(2018)	[941]屏東縣枋山鄉枋山村枋山路6號
74DA38F211D4	屏東縣縣立地磨兒國小(2018)	[901]屏東縣三地門鄉三地村行政街9號
74DA38F211D2	屏東縣縣立地磨兒國小-德文分校(2018)	[901]屏東縣三地門鄉德文村3鄰4號
74DA38F211D8	屏東縣縣立青山國小(2018)	[901]屏東縣三地門鄉青山村民族巷9號
74DA38F211F6	屏東縣縣立青葉國小(2018)	[901]屏東縣三地門鄉青葉村光復巷1之2號
74DA38F211D6	屏東縣縣立口社國小(2018)	[901]屏東縣三地門鄉口社村信義巷65號
74DA38F211F4	屏東縣縣立佳義國小(2018)	[903]屏東縣瑪家鄉佳義村泰平巷12號
74DA38F211FA	屏東縣縣立北葉國小(2018)	[903]屏東縣瑪家鄉北葉村風景巷1-22號
74DA38F2108A	屏東縣縣立霧臺國小(2018)	[902]屏東縣霧臺鄉霧臺村中山巷44號
74DA38F211DA	屏東縣縣立霧臺國小-勵古百合分校(2018)	[902]屏東縣霧臺鄉霧臺村11鄰文化街200號
74DA38F208E6	屏東縣縣立武潭國小(2018)	[921]屏東縣泰武鄉武潭村潭中巷45號
74DA38F208E8	屏東縣縣立武潭國小-平和分校(2018)	[921]屏東縣泰武鄉平和村太和巷1號
74DA38F20842	屏東縣縣立武潭國小-佳平分校(2018)	[921]屏東縣泰武鄉佳平村118號
74DA38F208EA	屏東縣縣立泰武國小(2018)	[921]屏東縣泰武鄉泰武村阿夫魯岸路1號
74DA38F211F8	屏東縣縣立萬安國小(2018)	[921]屏東縣泰武鄉萬安村萬安路1號
74DA38F211E6	屏東縣縣立來義國小(2018)	[922]屏東縣來義鄉丹林村古義路2號
74DA38F211EA	屏東縣縣立望嘉國小(2018)	[922]屏東縣來義鄉望嘉村165號
74DA38F211EC	屏東縣縣立文樂國小(2018)	[922]屏東縣來義鄉文樂村新樂路1號
74DA38F211F0	屏東縣縣立南和國小(2018)	[922]屏東縣來義鄉南和村51號
74DA38F211E8	屏東縣縣立古樓國小(2018)	[922]屏東縣來義鄉古樓村育英路2號
74DA38F20AA6	屏東縣縣立春日國小(2018)	[942]屏東縣春日鄉春日村春日路314號
74DA38F20A24	屏東縣縣立力里國小(2018)	[942]屏東縣春日鄉七佳村自強一路92號
74DA38F20BC2	屏東縣縣立古華國小(2018)	[942]屏東縣春日鄉古華村古華路3巷63號
74DA38F20B02	屏東縣縣立古華國小-士文分校(2018)	[942]屏東縣春日鄉士文村65號
74DA38F20B0A	屏東縣縣立楓林國小(2018)	[943]屏東縣獅子鄉楓林村楓林2巷22-2號
74DA38F20AFE	屏東縣縣立丹路國小(2018)	[943]屏東縣獅子鄉丹路村丹路1巷39號
74DA38F20AFA	屏東縣縣立內獅國小(2018)	[943]屏東縣獅子鄉內獅村1號
74DA38F20AF6	屏東縣縣立草埔國小(2018)	[943]屏東縣獅子鄉草埔村1巷5號
74DA38F20B18	屏東縣縣立石門國小(2018)	[945]屏東縣牡丹鄉石門村石門路33號
74DA38F20B04	屏東縣縣立高士國小(2018)	[945]屏東縣牡丹鄉高士村高士路29號
74DA38F20A90	屏東縣縣立高士國小-牡林分校(2018)	[945]屏東縣牡丹鄉四林村四林路80號
74DA38F20A94	屏東縣縣立牡丹國小(2018)	[945]屏東縣牡丹鄉牡丹村牡丹路93號
74DA38F20A8A	屏東縣縣立三多國小(2018)	[904]屏東縣九如鄉三塊村三民路307號
74DA38F20AA4	屏東縣縣立信義國小(2018)	[900]屏東縣屏東市信義路262號
74DA38F20A88	屏東縣縣立瑞光國小(2018)	[900]屏東縣屏東市興豐路86號
74DA38F20A8C	屏東縣縣立崇蘭國小(2018)	[900]屏東縣屏東市廣東路1259號
74DA38F20A98	屏東縣縣立四維國小(2018)	[913]屏東縣萬丹鄉四維村四維東路567號
74DA38F20A9A	屏東縣縣立東寧國小(2018)	[912]屏東縣內埔鄉內田村自強路85號
74DA38F20A92	屏東縣縣立潮昇國小(2018)	[920]屏東縣潮州鎮北門路25號
74DA38F20A9C	屏東縣縣立潮和國小(2018)	[920]屏東縣潮州鎮三和里華巖街1號
74DA38F210CA	屏東縣縣立東興國小(2018)	[928]屏東縣東港鎮興東里興東路43-1號
74DA38F210C8	屏東縣縣立塔樓國小(2018)	[905]屏東縣里港鄉塔樓村塔樓路21之3號
74DA38F210C6	屏東縣縣立玉田國小(2018)	[905]屏東縣里港鄉玉田村八德路91號
74DA38F210C4	屏東縣縣立東光國小(2018)	[928]屏東縣東港鎮興東里長春二路15號
74DA38F210C2	屏東縣縣立賽嘉國小(2018)	[901]屏東縣三地門鄉賽嘉村2號
74DA38F210BC	屏東縣縣立瓦磘國小(2018)	[932]屏東縣新園鄉瓦磘村四環路3號
74DA38F210C0	屏東縣縣立民生國小(2018)	[900]屏東縣屏東市瑞光里安心四橫巷139-1號
74DA38F210DC	屏東縣縣立長榮百合國小(2018)	[903]屏東縣瑪家鄉瑪家村和平路一段65號
74DA38F210E0	屏東縣私立南榮國中(2018)	[924]屏東縣崁頂鄉園寮村田寮路1之15號
74DA38F210DE	屏東縣縣立明正國中(2018)	[900]屏東縣屏東市大連路70號
74DA38F20CEE	屏東縣縣立中正國中(2018)	[900]屏東縣屏東市民學路2號
74DA38F20CE6	屏東縣縣立公正國中(2018)	[900]屏東縣屏東市公興路11號
74DA38F20CE4	屏東縣縣立鶴聲國中(2018)	[900]屏東縣屏東市大武路225號
74DA38F20CE0	屏東縣縣立至正國中(2018)	[900]屏東縣屏東市公裕街300號
74DA38F20CDC	屏東縣縣立長治國中(2018)	[908]屏東縣長治鄉德成村中興路578號
74DA38F20CDE	屏東縣縣立麟洛國中(2018)	[909]屏東縣麟洛鄉中山路2號
74DA38F210D6	屏東縣縣立九如國中(2018)	[904]屏東縣九如鄉玉水路26號
74DA38F210D0	屏東縣縣立里港國中(2018)	[905]屏東縣里港鄉春林村里中路10號
74DA38F210CE	屏東縣縣立鹽埔國中(2018)	[907]屏東縣鹽埔鄉鹽南村勝利路30號
74DA38F210CC	屏東縣縣立高樹國中(2018)	[906]屏東縣高樹鄉高樹村南興路4號
74DA38F20EEA	屏東縣縣立高泰國中(2018)	[906]屏東縣高樹鄉泰山村產業路225號
74DA38F20EDC	屏東縣縣立內埔國中(2018)	[912]屏東縣內埔鄉文化路262號
74DA38F20EE0	屏東縣縣立崇文國中(2018)	[912]屏東縣內埔鄉龍潭村昭勝路438號
74DA38F20EDE	屏東縣縣立竹田國中(2018)	[911]屏東縣竹田鄉西勢村龍門路26號
74DA38F20EE4	屏東縣縣立潮州國中(2018)	[920]屏東縣潮州鎮文化路66號
74DA38F20EF0	屏東縣縣立光春國中(2018)	[920]屏東縣潮州鎮光春路290號
74DA38F20EEE	屏東縣縣立萬巒國中(2018)	[923]屏東縣萬巒鄉萬和村褒忠路5號
74DA38F20EF4	屏東縣縣立新埤國中(2018)	[925]屏東縣新埤鄉建功路190號
74DA38F20EF2	屏東縣縣立萬丹國中(2018)	[913]屏東縣萬丹鄉四維村萬丹路2段5號
74DA38F20EF6	屏東縣縣立新園國中(2018)	[932]屏東縣新園鄉仙吉村仙吉路111號
74DA38F20ECA	屏東縣縣立林邊國中(2018)	[927]屏東縣林邊鄉光林村和平路43號
74DA38F20ECC	屏東縣縣立南州國中(2018)	[926]屏東縣南州鄉人和路231號
74DA38F20ECE	屏東縣縣立佳冬國中(2018)	[931]屏東縣佳冬鄉玉光村大同路1號
74DA38F20ED6	屏東縣縣立琉球國中(2018)	[929]屏東縣琉球鄉中正路158號
74DA38F20ED2	屏東縣縣立車城國中(2018)	[944]屏東縣車城鄉新興路42號
74DA38F20ED0	屏東縣縣立恆春國中(2018)	[946]屏東縣恆春鎮文化路79號
74DA38F20ED8	屏東縣縣立滿州國中(2018)	[947]屏東縣滿州鄉文化路32號
74DA38F20EE8	屏東縣縣立瑪家國中(2018)	[903]屏東縣瑪家鄉三和村三和巷16號
74DA38F20EEC	屏東縣縣立泰武國中(2018)	[921]屏東縣泰武鄉佳平路120號
74DA38F20EDA	屏東縣縣立牡丹國中(2018)	[945]屏東縣牡丹鄉石門村石門路1之1號
74DA38F20902	屏東縣縣立獅子國中(2018)	[941]屏東縣枋山鄉楓港村舊庄280號
74DA38F20C44	屏東縣縣立東新國中(2018)	[928]屏東縣東港鎮興東里東新路1號
74DA38F2090A	屏東縣縣立萬新國中(2018)	[913]屏東縣萬丹鄉新鐘村新鐘路8號
74DA38F208FE	屏東縣私立陸興高中附設國中(2018)	[900]屏東縣屏東市豐田里廣東路150號
74DA38F20C46	屏東縣私立美和高中附設國中(2018)	[912]屏東縣內埔鄉美和村學人路323號
74DA38F20916	屏東縣縣立大同高中附設國中(2018)	[900]屏東縣屏東市和平路429號
74DA38F20C60	屏東縣縣立枋寮高中附設國中(2018)	[940]屏東縣枋寮鄉新龍村義民路3號
74DA38F20C58	屏東縣縣立枋寮高中附設國中-正成分校(2018)	[900]屏東縣枋山鄉枋山村國中路1號
74DA38F2090E	屏東縣縣立東港高中附設國中(2018)	[928]屏東縣東港鎮船頭路1號
74DA38F20906	屏東縣縣立來義高中附設國中(2018)	[922]屏東縣來義鄉古樓村中正路147號
