74DA38F7C602	市立天母國中	臺北市士林區天和里天母東路120號
74DA38F7C5A2	市立北投國中	臺北市北投區溫泉里溫泉路62號
74DA38F7C5A4	市立新民國中	臺北市北投區林泉里新民路10號
74DA38F7C5A0	市立明德國中	臺北市北投區建民里明德路50號
74DA38F7C5FE	市立桃源國中	臺北市北投區一德里中央北路四段48號
74DA38F7C5A6	市立石牌國中	臺北市北投區吉利里石牌路一段139號
74DA38F7C5FC	市立關渡國中	臺北市北投區關渡里知行路212號
74DA38F7C5B4	備品	
74DA38F7C596	備品	
74DA38F21282	備品	
74DA38F7C598	備品	
74DA38F7C4C0	備品	
74DA38F7C4D2	備品	
74DA38F7C5E8	備品	
74DA38F7C3A0	備品	
74DA38F7C5F6	備品	
74DA38F7C4BC	備品	
74DA38F7C5EC	備品	
74DA38F21288	備品	
74DA38F2128E	備品	
74DA38F7C62E	備品	
74DA38F2127E	備品	
74DA38F7C594	備品	
74DA38F7C588	備品	
74DA38F2127C	備品	
74DA38F20A28	備品	
74DA38F20A2C	備品	
74DA38F20A26	備品	
74DA38F7C4BE	備品	
74DA38F7C4BA	備品	
